NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Anthony Edwards,Min,G,20.73,5,37.2,77.5,25.2,11.8,26,0.846,39,0.538,47,0.404,0.576,0.621,24.2,4,6.1,2.6,13.1,1,1,2.6,6.8,114.2,107.3
,Kessler Edwards,Bro,F,21.72,2,3.6,7.5,6.4,100,0,0,0,0,0,0,,,0,0,0,0.5,17,0.5,0,0.5,0,,
,Joel Embiid,Phi,C-F,28.12,6,39,81.1,29.4,13.7,59,0.831,79,0.608,21,0.19,0.54,0.623,26.2,11.3,17.9,2.3,10.7,0.33,0.83,3.33,9,115.4,102.7
,Dorian Finney-Smith,Dal,F,28.99,6,43.3,90.1,12.6,5.9,6,1,18,0.611,43,0.395,0.598,0.621,13.2,6.3,8.5,2.8,10.3,1.17,0.67,0.67,5.7,129.9,105.2
,Malachi Flynn,Tor,G,23.97,6,6.1,12.6,10.2,12.5,0,0,4,0,3,0,0,0,0,0.5,5.1,0.5,10.5,0.17,0,0.17,0,40.7,100.5
,Bryn Forbes,Den,G,28.77,5,15.3,31.8,10.9,10.4,5,0.8,4,0.5,11,0.364,0.533,0.581,4,0.6,2.4,1.4,12.3,0.2,0,0.4,3.9,120.8,110.3
,Danilo Gallinari,Atl,F,33.72,5,22.3,46.5,22.6,9.1,11,1,30,0.467,15,0.267,0.444,0.512,10.2,4.2,11.4,0.8,6.5,0.2,0,1,5.8,100.9,112.3
,Rudy Gobert,Uta,C,29.84,6,32.8,68.4,14.4,13.3,44,0.682,33,0.636,0,0,0.636,0.688,12,13.2,23.3,0.5,2.4,0.17,1,1.33,5.2,136.7,100.7
,Aaron Gordon,Den,F,26.62,5,32,66.8,20.2,10.8,28,0.714,39,0.513,15,0.2,0.454,0.52,13.8,7.2,13.9,2.6,12,0.4,1.2,1.6,8,114.4,108.5
,Devonte' Graham,Nor,G,27.18,6,10,20.9,18.3,15.7,8,0.875,4,0.25,14,0.357,0.472,0.558,4,1.5,8.8,0.7,9.3,0.17,0.17,0.67,6.5,107.7,112.6
,Danny Green,Phi,G,34.85,6,31.3,65.2,14.5,8.6,0,0,9,0.333,44,0.364,0.509,0.509,9,3.8,7.5,1.2,5.5,1,0.33,0.83,4.4,103.2,110.3
,Draymond Green,Gol,F,32.15,5,32.9,68.5,13,16.9,12,0.667,23,0.609,11,0.364,0.588,0.611,9.6,5.4,10.2,7.4,29.4,1.6,1.6,1.6,8.8,128.6,96.7
,Javonte Green,Chi,G-F,28.77,5,14.3,29.8,13.4,18.3,2,0.5,11,0.273,6,0,0.176,0.196,1.4,3,10.5,0.4,3.9,1.8,0,0.8,3.3,64.4,99.5
,JaMychal Green,Den,F-C,31.86,5,13.7,28.6,13.4,9.5,7,1,11,0.455,5,0.2,0.406,0.524,4,2.4,10.8,0.4,4,0,0.2,0.4,4.6,110.9,99.1
,Jeff Green,Den,F,35.67,5,22.7,47.3,8.1,9.4,5,0.8,9,0.333,8,0.375,0.441,0.495,3.8,3.6,9.8,0.4,2.3,0.4,0.4,0.4,3.1,113.1,112.4
,Josh Green,Dal,G,21.45,6,11.3,23.4,18.4,0,6,0.333,4,0.5,19,0.211,0.348,0.351,3,1,5.2,1.2,15.8,0.67,0,0,5.4,89.9,94.1
,Blake Griffin,Bro,F,33.12,2,12.8,26.6,16,11.3,2,1,2,0,5,0.4,0.429,0.508,4,2,10.2,2,21.2,0.5,0.5,0.5,7.9,121.8,105.8
,James Harden,Phi,G,32.67,6,40.6,84.5,23,17.7,43,0.86,45,0.422,34,0.382,0.487,0.582,19,5,7.6,10.2,38.5,1,1.17,3.5,9.7,118.6,109.8
,Tobias Harris,Phi,F,29.79,6,40.9,85.2,18,10.6,16,0.875,47,0.574,30,0.433,0.604,0.637,17.8,9.5,14.3,2.8,11.2,0.67,1.17,1.67,7.6,119.9,105.7
,Jaxson Hayes,Nor,C-F,21.93,6,13.8,28.8,17.6,11.8,11,0.636,22,0.636,3,0,0.56,0.586,5.8,2.5,10.7,0.2,1.9,0,0.33,0.67,4.1,109.4,104
,Juancho Hernangomez,Uta,F,26.58,6,9.3,19.4,16.8,10,0,0,6,0.167,12,0.333,0.389,0.389,2.3,2,12.5,0.8,14,0.33,0,0.33,6.6,92.4,104.7
,Willy Hernangomez,Nor,C-F,27.92,1,1.9,4,90.6,0,0,0,3,0.333,1,0,0.25,0.25,2,2,62.1,0,0,0,0,0,0,,
,Tyler Herro,Mia,G,22.27,5,28.4,59.2,25.1,14.9,10,0.9,36,0.556,28,0.179,0.43,0.468,12.8,3.8,8.1,3.2,17.3,1,0.6,2.4,7.6,90,103.4
,Haywood Highsmith,Mia,F,25.38,2,4.2,8.8,15.9,66.7,0,0,0,0,1,1,1.5,1.5,1.5,0.5,7.2,0.5,16.8,0,0,1,6.9,78.3,115.3
,Aaron Holiday,Pho,G,25.58,2,4.1,8.5,25.3,0,1,0,2,1,2,1,1.25,1.126,5,0.5,7.2,2,117.6,0,0,0,16.7,225.3,119.2
,Jrue Holiday,Mil,G,31.88,5,36,75,25.3,19,10,0.6,52,0.442,29,0.345,0.469,0.48,16.4,5,6.9,6.8,28.5,0.8,0.4,4,9.1,94.6,109.3
,Al Horford,Bos,C-F,35.9,4,32,66.6,13.4,7.7,4,0.75,19,0.579,15,0.6,0.721,0.727,13,7.5,15.3,2,8.9,0.75,0.75,0.75,7.2,145.8,97.3
,Danuel House Jr.,Uta,F-G,28.89,6,18.6,38.8,13.2,19,8,0.75,12,0.583,10,0.2,0.455,0.509,4.3,2.8,8.9,0.7,5.5,0,0.17,1,4.4,93.7,109.2
,Kevin Huerter,Atl,G-F,23.67,5,30.7,64,17.9,18.4,4,0.75,16,0.5,31,0.29,0.457,0.472,9.2,3,5.9,3.8,20.4,1,0.6,2.2,6.1,92.1,108.1
,De'Andre Hunter,Atl,F-G,24.41,5,34.9,72.8,23.7,12.2,20,0.8,44,0.614,26,0.462,0.643,0.673,21.2,3.8,6.6,0.6,3.5,0.8,0.2,2.2,4.2,115.2,106.7
,Bones Hyland,Den,G,21.62,5,17.3,36.1,24.2,12.5,14,0.857,13,0.385,23,0.348,0.472,0.546,9.2,2,7.1,3.2,27.5,0.2,0,1.2,9,112.4,103.2
,Serge Ibaka,Mil,F,32.61,4,4.8,9.9,36.2,12.6,2,0.5,11,0.364,2,0,0.308,0.324,2.3,2.5,26.3,0,0,0,0,0.5,0,67.2,103
,Andre Iguodala,Gol,G-F,38.25,3,14.1,29.4,9.9,32.2,3,0.667,3,0.333,2,0,0.2,0.316,1.3,2.3,10.2,2.3,19.4,0,0.67,1,5.4,94.7,94.1
